n_types,n_tokens,sample_id
361,700,11
379,800,11
406,900,11
463,1000,11
441,1000,11
756,2000,11
967,3000,11
1194,4000,11
1435,5000,11
1610,6000,11
1730,7000,11
1821,8000,11
1998,9000,11
2196,10000,11
2095,10000,11
3163,20000,11
3885,30000,11
4558,40000,11
5017,50000,11
5520,60000,11
5940,70000,11
6312,80000,11
6533,90000,11
6881,100000,11
6806,100000,11
9147,200000,11
10625,300000,11
11851,400000,11
12818,500000,11
13668,600000,11
14348,700000,11
79,100,12
147,200,12
190,300,12
238,400,12
264,500,12
328,600,12
357,700,12
393,800,12
450,900,12
444,1000,12
449,1000,12
734,2000,12
981,3000,12
1186,4000,12
1387,5000,12
1554,6000,12
1734,7000,12
1875,8000,12
2020,9000,12
2169,10000,12
2128,10000,12
3132,20000,12
3960,30000,12
4550,40000,12
4988,50000,12
5510,60000,12
5912,70000,12
6256,80000,12
6580,90000,12
6818,100000,12
6855,100000,12
9280,200000,12
10623,300000,12
11864,400000,12
12783,500000,12
13633,600000,12
14356,700000,12
82,100,13
131,200,13
189,300,13
228,400,13
266,500,13
327,600,13
359,700,13
388,800,13
437,900,13
457,1000,13
444,1000,13
763,2000,13
1001,3000,13
1208,4000,13
1400,5000,13
1547,6000,13
1738,7000,13
1887,8000,13
2001,9000,13
2093,10000,13
2155,10000,13
3150,20000,13
3910,30000,13
4501,40000,13
5062,50000,13
5456,60000,13
5913,70000,13
6336,80000,13
6691,90000,13
6865,100000,13
6918,100000,13
9250,200000,13
10721,300000,13
11805,400000,13
12793,500000,13
13626,600000,13
14356,700000,13
75,100,14
145,200,14
194,300,14
224,400,14
264,500,14
308,600,14
337,700,14
373,800,14
424,900,14
487,1000,14
464,1000,14
756,2000,14
975,3000,14
1216,4000,14
1375,5000,14
1561,6000,14
1727,7000,14
1911,8000,14
2029,9000,14
2123,10000,14
2104,10000,14
3129,20000,14
3871,30000,14
4502,40000,14
4978,50000,14
5466,60000,14
5889,70000,14
6348,80000,14
6632,90000,14
6862,100000,14
6867,100000,14
9166,200000,14
10613,300000,14
11850,400000,14
12782,500000,14
13650,600000,14
14341,700000,14
74,100,15
134,200,15
175,300,15
223,400,15
287,500,15
304,600,15
350,700,15
388,800,15
449,900,15
442,1000,15
466,1000,15
748,2000,15
991,3000,15
1239,4000,15
1397,5000,15
1511,6000,15
1713,7000,15
1846,8000,15
2032,9000,15
2090,10000,15
2152,10000,15
3134,20000,15
3867,30000,15
4545,40000,15
4979,50000,15
5439,60000,15
5761,70000,15
6222,80000,15
6613,90000,15
6880,100000,15
6916,100000,15
9223,200000,15
10644,300000,15
11886,400000,15
12824,500000,15
13642,600000,15
14367,700000,15
77,100,16
131,200,16
181,300,16
226,400,16
267,500,16
301,600,16
345,700,16
396,800,16
436,900,16
462,1000,16
469,1000,16
744,2000,16
998,3000,16
1200,4000,16
1420,5000,16
1574,6000,16
1696,7000,16
1873,8000,16
2004,9000,16
2146,10000,16
2124,10000,16
